title,story
우당탕탕 한국어 선생 생존기,"정신을 차려보니 한국어 선생이 되어 있었다! 말 그대로 우당탕탕 처절한 생존기.. N잡러 이야기, 일요일 연재입니다! :D 인스타: huibbi_toon"
하루한끼 감정일기 시즌2,여러분들에게 음식이란 어떤 의미인가요? 힐링음식툰 <하루한끼 감정일기 시즌 2> 매주 토요일 업로드! (금요일 밤 10시 이후 올라옵니다)
카오스이론,"주의> 이 만화엔 '인간'이 거의 등장하지 않음. 관리자와 존재자, 오브젝트 헤드 코스믹 러브 판타지. 매주 토요일 연재. 분량자유. 한컷 또는 수십컷. 간혹 대량의 텍스트. 마플샵: https://marpple.shop/kr/knocker?page=0"
위험한 후배,"겉으로는 멀쩡한 같은 과 후배 '고연희' 그러나 그 실상은 위험 그 자체였다 [매월 1일, 11일, 21일 업로드] 이메일: codnjs631@gmail.com"
"알고 싶니 마음, #심리툰","정신건강의학과 전문의가 쓰고 그립니다. 몰랐던 이에겐 지혜가, 심심한 이에겐 재미가, 괴로운 이에겐 위로가 되었으면. Expecting True Emotional Insight! 진정한 인싸가 되기 위하여!"
구나의 그랬구나,"프로공감러 구나의 ""보육교사로 산다는 것"""
원래부터 아무것도 없었던 세계,당신이 있는 세계가 진짜라고 증명할 수 있나요?
일상과 망상,그때 그때 이상한 생각나는 거 그리는 블랙코미디 [토요일 연재]
소라비의 잡화점,"어느 날 잡화점 주인장 소라비를 찾아온 수상한 손님, 그는 소라비를 지옥으로 끌어내리기 위해 돌아온 원수다. #로맨스판타지 #남장여자"
미미쉐어하우스,반려동물이 독립하기 시작했다! 어쩐지 하는 짓이 사람같더라니....... 독립한 반려동물들이 미미쉐어하우스에 함께 살면서 생기는 에피소드 (자유연재해요) 메일: naly0828@naver.com
좀비 플래너,좀비 세계를 기다려왔던 한 남자! 그 남자의 기다림을 드디어 보상을 받는다네!!!
비타(VITA),"그날, 모든 것을 잃은 한 소녀. 그녀의 복수를 향한 여정."
질주,[22일 연재] 초능력 현세대 판타지
충충의 하루,하루하루 비슷하게 흘러가는 일상 속에서 지나치기 쉬운 의미와 재미를 되돌아 본다.
팔천의 독,동양 판타지 세계관에 떨어진 강력계 형사의 모험수사극
루텔,베도 11년 고인물+막장+일상+짬뽕장르+베도계의 섞어찌개 = 최장수만화 가즈아! 요약 : 독자님들 늙어 죽을때까지 완결이 안 나면 어떡하지 하는 만화.
기억 속 너에게,"썩어가는 세계를 구하기 위한 메르와 루, 샤샤의 여정"
김작가의 오춘기 그림일기,"퇴사는 해버렸고, 프리랜서로는 살고 있고, 돈은 없고, 결혼은 커녕 연애는 언제.. 쯤?? 서른 후반에도 오춘기를 앓고 있는 김작가의 일상 이야기."
자작 보드게임 동아리,"일상 속 게임, 게임 속 일상"
용사·마왕·우주인,"영웅이 되고 싶은 용사, 용사가 되고 싶은 마왕, 별에서 왔다는 우주인이 만났다. [월 1회 이상 연재]"
전직 히키코모리 갱생툰,전직 히키코모리 찐따 오타쿠가 갱생하기 위해 노오력하는 만화
캠퍼S파이,"최고의 대학 엘마리드의 모범생 '에반'은 부르주아 하이패스를 위해 학업과 교수님의 노예를 겸하고 있다. 에반은 새학기와 함께 새로운 심부름을 맡게 되고, 수상한 학생 '마리'가 같은 동아리인 워커연구부에 들어오게 된다!"
어쩌다 주짓수,어쩌다 보니 주짓수 코치 (매주 금요일에 만나요~)
어디사세요,건축만화 : 맞춤형아파트프로젝트
불손한 친구들,불손한 친구들의 일상 이야기 - 블로그 bullson1.com - 인스타 @bullson_comics
파도의 포말,'마가렛'이 죽었다. 그 날에 사로잡힌 세 사람의 이야기.
나는 0대생,"어쩌면 뻔한 그러나 특별한 우리들의 이야기, 공대생 공감툰"
언제나 반짝이는,"[시즌 2] 언제나 반짝이는 : 모든 순간들이 반짝입니다. [시즌 1] 우리는 한팀: 또니씨, 주주씨, 유파씨 그리고 마음이 구름이가 만들어가는 이야기."
하루땃따,천방지축 어리둥절 빙글빙글 돌아가는 나의 하루 ##매주 금요일에 올라옵니다^^* 인스타 @ttata_bbb 메일 ttata7777@naver.com
나는 곰인이다,한국에서 태어나 일본으로 건너간 유년 시절... 그리고 한국과 일본을 수차례 오갔다 일본인도 아닌 재일교포도 아닌 그렇다고 한국에서도 '일본'의 꼬리표가 붙어다니던 주인공 '곰인' 왜 주인공은 '곰인'이 됐을까? 회사 사표를 내고 인스타툰 작가를 하고 있는 작가 Gon3(곤상)의 자전적 이야기
DOSA: 암행의 수호자들(베도승격),"이어지는 흉년과 역병으로 어지러운 난세를 보내고 있는 조선. 백성들의 삶이 어려워지자 인간의 욕망과 두려움에 기생하는 요괴들이 창궐한다. 그렇게 요괴들의 기세는 점차 드높아지기 시작하고…수수께끼의 힘을 가진 도사 한수호는 요괴들을 퇴치하기 위해 조선 팔도를 돌아다닌다. 어린 시절의 기억을 잃은 채 요괴를 향한 복수심과 힘에 대한 갈망만으로 도사의 길을 걷는 한수호. 그러나 여러 의뢰를 거치며 수호는 인간과 요괴, 선과 악에 대해 고민하게 된다. 과연 세상의 존폐를 건 도사와 요괴의 격돌은 어디로 흘러가게 될 것인가."
청춘 모래시계(베도승격),"""미래의 여자친구는 네가 아니었다"" 오랫동안 같은 반 반장 한하늘을 짝사랑해온 주인공 장영신. 그러나 불량아 강노을과 키스를 하는 꿈을 꾸게 되고, 싱숭생숭하던 찰나에 하늘이 셋이서 영화를 찍자고 제안하는데...!? 과연 영신의 진짜 연인은 누구인 것일까! <매주 월요일 아침9시에 갱신됩니다!>"
아빠는 N살,아빠가 된지 9년. 아빠로서의 나이 아홉 살
숨비야울어 & 소여소설,"구 숨비야 울어. 2023.2.11(토) ~ 2023.4.30(일) 동안 한시적으로 후속작 '소여소설'이 연재되며, 이후 숨비 연재 채널로 복구됩니다."
신인,살아남기 위해 인간들은 서로 훔치고 빼앗고 죽고 죽인다. 멸망해 가는 세상에서 기억 없이 깨어난 아이. 인간을 웃도는 비정상적인 신체능력을 가진 스스로의 정체에 의문을 갖는다. 난 누구지? ...내게 인류를 구해낼 수 있는 힘이 있다고?!
프라이데이,"언어의 주술성에 의해 특유의 속성을 가진 사람들이 가득해진 세상. 한별은 4월 4일 4시 44분 44초에 태어났다는 이유로, 불행 속성을 가져 평탄하지 않은 삶을 보내고 있었다. 더군다나 자신의 성씨 김(金)과 같은 한자인 '금요일'에 불행의 강도가 유독 심해지고, 금강불괴의 몸이라 온갖 불행에도 버티고는 있지만 이거… 괜찮을까? (매주 금요일 연재)"
곰팡남녀,보풀처럼 일어나는 소소한 일상을 그립니다.
상의원,"신들의 땅에 떨어진 인간 무당 연우. 매달 10일, 20일, 30일에 등록합니다."
핫캣일기,@hotcat_luna
부부사기단 늬우스,구영필 作 / 어느 방귀쟁이 식탐 부부의 이야기......
INDOC [인독],"거대혜성이 달과 충돌했다. 파괴된 혜성에서 ""엑시온""이라는 기업에 의해 엄청난 신에너지 발굴 경로가 발견되었다. 반면 충돌로 인해 엉망이 된 사회시스템은 대공황을 야기시켰고 그 안에서 허덕이며 생활하던 우리는 각자 나름의 이유를 가지고 ""엑시온""에 취업하게 되었다. 그런데..."
머맨백(Merman Bag),암암리에 재벌들 사이에서 초고가로 거래되는 인어가방을 만들기위해 운영되는 인어양식장에서 태어난 최초의 남자양식인어 이루다가 11년전 의문의 화재사고로 탈출하게 된다. 그렇게 보육원에서 휠체어를 탄채 성인이 되어 지금이라는 이름으로 살게 된 루다가 자신이 누군지도 모른 채 하루하루 빚만 갚아나고있는 인턴기자 환한빛이 급하게 올린 하숙공고를 보고 찾아오게 되며 아찔한 동거를 시작하게되는데..!! 두 사람은 돌이킬수 없는 비극적 운명의 기로 앞에 마주하게 된다.
다람쥐 란란,집순이 내향인 일상
제제가 돌봐드려요,"꿈을 이루기 위해 매일 바쁘게 사는 '이나'. 하지만 고된 현실 탓에 이나의 하루하루는 쉽지 않다. ""이제부턴 제제가 돌봐줄게요!"" 어느 날, 애착 인형 '제제'가 갑자기 움직이고 말도 하며 집안일도 해준다?! 그렇게 제제가 인생에 끼어든 후 이나의 팍팍하던 매일이 조금씩 변화하기 시작한다! (매주 목요일 연재합니다.)"
만렙 할배,"왕년에 말이여,,, 마왕 눔이 온다고 예언을 한 눔이 있었어,,, 내가 그,,, 말만 믿고,,, 용사가 됐능겨~ 그래서 70년 동안 뼈 뿌라지게 수련했는디,,, 안 왔어 이눔 자슥이,,, 나는 이제 우짠다냐?,,,,"
고양이와 집사,조금은 특별한 반려동물 이야기. 고양이 ‘고마워’가 길인간 ‘양지’를 반려동물로 맞이하게 되면서 벌어지는 일상.
겨울살이,집순이 웹툰작가지망생 겨울의 우당탕탕 일상 이야기 (매주 목요일 연재/ 인스타그램 @han_winter23/ 메일 hywin2923@naver.com)
산군대잔치,반려견과 함께 기록하는 일상툰
rock 페스티벌,"지구 역사상 최고의 우주쇼가 펼쳐진 그다음 날부터 세상이 다르게 보이는 로지! 여기도 rock, 저기도 rock, 세상 모든 남자가 다 rock! 그치만 딱 한 명... 예외가 있다? 얼떨결에 세상이 바뀌어버린 소녀의 우당탕탕 이야기! 그래.. 나락도 rock이다.."
불태워라 혼!,천재 격투기 선수 '비수하'. 지옥에 떨어지다.
불사소년,"""죽지 않는 소년이 신세계를 열 것이다."" 평범하게 다른 사람들만큼만 사는 것이 소원이었던 찐따 부상한. 어느 날 부상한은 자신의 특별한 능력을 깨닫게 되고 그 능력은 그를 더 이상 평범할 수 없게 만든다."
호붕빵 아저씨,붕어빵파는 건장한 호랑이 아저씨와 귀여운 동네 주민들의 소소한 이야기들. 아저씨는 붕어빵의 계절이 지나면 어떻게 되는걸까?
나홀로 짠,나홀로 짠했던 이야기 그리고 달밤에 나홀로 짠한 이야기
두억신,"어느 순간 나타나기 시작한 괴물들! 이에 균형을 맞추듯 사람들에게 초능력이 발현되기 시작하고 세상은 '영웅 사회'가 된다. 아주 흔하고 약한 초능력을 가지고 영웅이 되길 꿈꾸는 소년, 우연인지 운명인지, 커다란 힘을 손에 넣게 되는데...? <'영웅'이 되기 위해 노력하는 한 소년의 이야기> [매달 10, 20, 30일 연재됩니다!]"
라이프,"아주 낡은 빌라에 산다는 이유로 학교에서 차별과 무시를 당하고 있는 희소. 일년 전, 희소가 어릴 적부터 좋아하던 동네 오빠 수헌이 빌라에 난 가스폭발로 실종되는데, 희소는 수헌이 살아있을 거라고 아직도 믿고 있다. 그리고 사고 이후 희소네 빌라에 이상한 생물이 나타난다는 영상이 자꾸 업로드되기 시작한다."
