title,story
일해라 당상관!,"나라를 위한다는 거짓명분을 내세워 자신의 욕심을 채우려는 대신들과 조선의 멸망을 위해 
수작을 부리는 요괴들을 퇴치하는 당상관의 이야기. 궁궐내의 한량으로 보이는 그에게는 세 개의 신분이 있다. 통례원 감찰실장이라는 아무런 권력도 없는 한량같은 직책이 그 첫 번째요, 임금의 친구이자 비밀리에 궁궐내의 모든 사건에 힘을 발휘 할 수 있는 암행감찰관이 두 번째요, 마지막으로 명부에서 파견된 저승사자라는 것. 
 자신의 목적을 위해 친구와의 우정을 위해 궁궐내의 이상한 사건들을 해결하는 당상관과 주변인물들의 이야기."
고백,개떡 같은 사건사고가 찰떡 궁합이 되는 천생연분 로맨스
사랑도 수술이 되나요? [BL] [개정판],"#다정공 #대형견공 #능글공 #존댓말공 #의사공 #귀엽수 #다정수 #소심수 #귀엽수 #은근밝히수

10년간의 짝사랑을 끝내고 나간 소개팅...
상대는.... 몇 년 전 성형 수술 상담을 해줬던 그 의사 선생님??!!?!

10년 짝사랑을 그만두게 해준 나만의 선생님.

＂선생님..! 사랑도 수술이 되나요?!＂"
용병학교,"[허구 100%, 막장 개그 판타지]

진정한 K웹툰의 <B급 감성>이 무엇인지 보여주기 위해 준비했다.

백 만번째 회귀중인 김수호의 마지막 더티 액션이 이제 막 시작된다.

제이로빈 / 캡맨아저씨의 [용병학교]"
우리사이느은,"멀어질 수도, 그렇다고 연인이 될 수도 없는 사이. 파스텔 톤처럼 따스하지만, 원색처럼 뜨겁지 못해 애매한 우리. 모두를 두근거리게 할 캠퍼스 로맨스가 시작됩니다."
"호랑이 장가드는 날 [BL, 개정판]","4년을 사귄 호남과 수연은 서로에 대해 알만큼 안다고 생각했지만 호남이 사실은 인간이 되는 날을 앞둔 반인반호였고, 수연이 다니는 직장의 오너, 다준은 인간이 되길 포기한 반인반호였다...? 졸지에 호랑이 사이에 낀 수연은 과연 어떻게 될 것인가."
경계인,"""지갑도 아니고 목숨을 뺏겼는데 어떻게 그냥 저승으로 넘어갑니까?""

자신을 토막살해한 범인을 찾기 전까지
절대 저승에 가지 않겠다는 망자(亡者) '박주현'

베테랑 저승사자 '조우진'은 이러다 악귀(惡鬼)가 될지 모를 주현에게
특별히 이승에서 체류할 기회를 주게 된다.

""그래도 완전한 자유는 아니야. 감시자이자 조력자도 붙을 거고.""
""...어떤 사람인가요?""
""우린 주로 경계인이라고 부르지.""

저승의 의뢰로 주현을 감시하게 된 경계인 '최성민'
주현과 성민은 살인 용의자를 하나둘씩 찾아나서는데...
어째서 주현이 용의자로 지목한 이들은 모두 이승을 떠나 있는 걸까?

남은 시간은 단 일주일!
이들이 펼치는 아주 현실적인 저승 판타지 미스터리 <경계인>"
내 자기님이 로그인 하셨습니다,"[게임 속 그 녀석, 자꾸만 신경쓰여.]
인터넷 게임에서 여자인 척하며 절정의 인기를 누리는 재현, 비밀을 감춘 듯한 차가운 느낌의 귀공자 은성, 키 169.8에서 멈춰버린 귀여운 모태솔로 민준. 꽃미남 대학생들이 펼치는 지나친 우정(?)의 캠퍼스 청춘 드라마!"
야설록 백년전쟁 컬렉션,"<야설록 백년전쟁 컬렉션> 작품구성

1. 만공 [개정판]
2. 백년전쟁 [개정판]
3. 신전 [개정판]"
싸움귀,"지옥 최강의 싸움귀 아수라.
그러나 더는 싸울 상대가 없어 지루한 나날을 보내던 중
이승의 최강자가 제석천이 나타난다는 소식을 듣게 되는데..."
