title,story
은밀한 재택근무,"평범한 회사원인 '한다연'. 
회사의 사활이 걸린 프로젝트를 성사시키기 위해,
벤처 기업의 대표이자 동창 '이지안'의 요구대로 그의 비서가 된다.
고등학교 시절 첫 키스를 망친 그 녀석과 재택 근무라니!
하지만 다연은 자신이 지안의 첫사랑이었다는 사실을 알게 되고,
지안이 마음을 숨기지 않으면서, 두 사람은 점점 가까워지는데..."
원포인트,"“내가 빛나지 않아도 좋아, 경기에서 이긴 후 우리 팀을 주인공으로 만든다.”

고등학교 입학과 동시에 마주한 배구부의 모습에 실망한 ‘이재혁’, “이런 게, 배구부라고..?”
재혁은 어릴 적부터 함께 해온 ‘도민환’, 배구부의 악행에 질려버린 ‘김단우’와 함께 직접 팀을 꾸리기로 결심한다.
개성 넘치는 팀원들이 한 명씩 모이기 시작하고 서로 다른 친구들이 모여
하나의 목표를 향해 달려간다. 목표는 최정상!!"
말숙이를 부탁해,"1년 전 부모님을 여의고 어린 여동생 말숙이와 단둘이 살아가고 있는 나에게는 남들에게 말 못할 비밀이 하나 있다.
그건 바로... 내 여동생 말숙이가 마왕이라는 것...!!! 게다가 장래희망은 지구멸망??!
그치만 마왕이면 뭐 어때, 누가 뭐래도 말숙이는 내가 올바르게 키울거야!!"
뷰티풀 군바리,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!
신의 탑,"자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑"
퀘스트지상주의,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!
공부, 싸움, 외모.
뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!
첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!
퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?
[system] 학교 일진녀와 키스하십시오"
신화급 귀속 아이템을 손에 넣었다,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현. 
그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다.
신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!"
장씨세가 호위무사,"‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!"
윈드브레이커,"혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!"
소녀의 세계,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물"
